If we can't, we can't. But uh we're gonna try to make this an abbreviated meeting cuz the -	0
the next - next occupants were pushing for it, so.	0
Agenda is - according to this, is transcription status, [MASK]	0
X_M_L tools, disks, backups, et cetera	0
Does anyone have anything to  add to the agenda?	0
Should we just go in order? Transcription status? Who's - that's probably you.	0
I can do that quickly. Um I hired several more transcribers, They're making great progress. Seve-  several,   several.	1
uh I've been uh finishing up the uh double checking.	1
I hoped to have had that done by today but it's gonna take one more week.	0
as a  somewhat  segue into the next topic, um	1
could I get a hold of uh	1
the data even if it's not really corrected yet just so I can get the data formats	1
and make sure the information retrieval stuff is working?	1
Certainly. Yeah I mean, it's in the same place it's been.	0
So can you just -	0
Oh,  it  is.  O_K. Just - So, "transcripts"	0
So I'll - I'll probably just make some copies of those rather than use the ones that are there.	0
just - we'll have to remember to	0
delete them once the corrections are made.	0
I also got anot- a short remark to the transcription. I've uh just processed the first five [MASK] and they are chunked up so they would - they probably can be sent to I_B_M	1
Well the second one of those	1
Yep. It's already at I_B_M, but the other ones - Yeah.	1
That's the one that  we're waiting to hear from them on.	1
These are  separate  from the ones that - I mean, these are -	0
Is my mike on? Yeah.	0
And so as soon as we hear	1
this one is O_K and we get the transcript back and we find out that	1
hopefully there are no problems matching up the transcript	1
then uh we'll be ready to go and we'll just send them the next four as a big batch,	1
and let them work on that.	0
And so we're doing those as disjoint from the ones we're transcribing here?	0
Yes, exactly. We're sort of doing things in parallel, that way we can get as much done a- at once. Yeah.	1
Yeah, I think that's the right way to do it, especially for the information retrieval stuff.	1
Anything else on transcription status?	0
[MASK] we had the submeeting the other day.	1
So I've been working on using [MASK] to do information retrieval on meeting data	1
there're two sets, there's a back-end and a front-end, so the front-end is the user interface and the back-end is the indexing tool and the querying tool.	1
And so I've written some tools to convert everything into the right for- file formats.	1
command line version of the indexing and the querying is now working.	1
So at least on the  one  meeting that I had the  transcript  for	1
uh  conveniently  you can now do information retrieval on it, do - type in a - a string and get back a list of start-end times for the meeting,	1
What - what kind of uh - what does that look like? The string that you type in. What are you - are you - are they keywords, or are they - ? O_K.	0
Right? And so - and then it munges it to pass it to [MASK] which u	0
does it play something back or that's something you're having to program?	0
Um, right now, I have a tool that will  do  that on a command line using our standard tools,	0
but my intention is to do a prettier user interface based  either  -	1
So - so that's the other thing I wanted to  discuss,  is well what should we  do  for the user interface? We have	0
two  tools that have already been written. Um [MASK] did a  web-based  one,	0
um, which I haven't used, haven't looked at. Dan says it's pretty good	0
but it  does  mean you need to be running a web server.	1
And so it - it's pretty big and complex.	1
Uh and it would be difficult to port to Windows because it means porting the  web  server to Windows.	1
Uh the other option is Dan did [MASK]	1
for Broadcast News which I think looks great. I think that's a nice demo.	1
Um and that would be much easier to port to Windows.	0
And so I think  that's  the way we should  go.	0
I - Can I ask a question? So um	0
as it stands within the - [MASK] it's  possible  to do a find and a play.	0
You can find a searched string and play. So e- Are you - So you're adding like um,	0
I don't know, uh are they fuzzy matches or are they  uh - ?	0
It's a sort of standard,	0
and then there are all sorts of metrics for spacing how far apart they have to be and things like that.	0
It's a lot more sophisticated than the uh	0
it's like doing a Google query or anyth- anything else like that.	0
So i- it uses - So it pr- produces an index ahead of time so you don't - you're not doing a linear search through all the documents.	0
Cuz you can imagine if - with - if we have the sixty hours' worth you do - wouldn't wanna do a search.	0
Um you have to do preindexing and so that - these tools do all that.	0
And so the work to get the  front-end  to work would be porting it -	0
uh to get it to work on the  UNIX  systems,  our  side is just	0
rewriting them and modifying them	0
to work for  meetings.  So that it understands that they're different speakers and that it's one big audio file instead of a bunch of little ones and just	0
So what does the user see as the result of the query?	0
[MASK] which is the one that Dan wrote, [MASK]	0
um you type in a query and then you get back a list	0
and you can type on them and listen to them.	0
Click  on them rather  with a mouse.	0
So if you typed in "small heads" or something you could	0
get back a uh uh	0
something that would let you click and listen to some audio where that phrase had occurred or some-	0
You - you'd get to listen to "beep".	0
That was a really good look.  It's too bad that that couldn't  come into the -	0
You couldn't get a video.	0
Guess who I practice on?	0
At  some  point we're gonna have to say what that private joke  is,  that keeps coming up.	0
And then again, maybe not. So,  uh -	0
Yeah, that soun- that sounds reasonable. Yeah, it loo- it - my - my recollection of it is it's - it's a pretty reasonable	0
uh demo sort of format.	0
Yeah that sounds good. That sounds really neat.	0
there'd be minimal effort to get it to work,  minimally  and then we'd  wanna   add things like query by speaker and by meeting and all that sort of stuff.	0
Um Dave Gelbart expressed some interest in working on that so I'll work with him on it.	0
And it - it's looking pretty good, you know, the fact that I got the query system working.	0
So if we wanna just do a video-based one I think that'll be easy.	0
If we wanna get it to Windows it's gonna be a little more work because the	0
[MASK] the information retrieval tool's - um, I had difficulty ju	0
So getting them to compile on	0
But you were saying that - that the uh -	0
that there's that set of tools, uh,  [MASK] that -	0
It certainly helps. Um, I mean  without  those I wouldn't even  attempt  it.	0
But what those - they - what those do is provide sort of [MASK]	0
so that the normal UNIX function calls all work.	0
And you have to have all the o-	0
But the  problem  is that - that [MASK] didn't use anything like [MASK]	0
and so you have the normal porting problems of	0
different header files and th- some things are defined and some things aren't	0
different compiler work-arounds and so on. So the fact that	0
um it took me a day to get it c- to compile under  [MASK]  means it's probably gonna take me	0
s- significantly  more  than that to get it to compile under Windows.	0
How about having it run under  [MASK]	0
Well what you need -	0
[MASK] would probably be easier.	0
All you need to do is say to Dan	0
"gee it would be nice if this worked under  [MASK] " and it'll be done in a day.	0
Actually you know I should  check  because he did port it to  [MASK]	0
so he might have  done  that  already.	0
I - I - I wouldn't be surprised.	0
I'll check at that -	0
